Label,Acc X,Acc Y,Acc Z,Gyro X,Gyro Y,Gyro Z
3,-4.065953255,-16.69237518,2.615665436,1.664607644,-0.681635559,0.727575064
3,-4.065953255,-16.69237518,2.615665436,1.664607644,-0.681635559,0.727575064
3,-2.480991602,-11.77947235,1.533486247,1.664607644,-0.681635559,0.727575064
3,-2.480991602,-11.77947235,1.533486247,1.664607644,-0.681635559,0.727575064
3,-2.706046581,-4.204218388,4.210203648,1.664607644,-0.681635559,0.727575064
3,1.325789213,-14.38915253,3.946841478,1.664607644,-0.681635559,0.727575064
3,1.325789213,-14.38915253,3.946841478,1.664607644,-0.681635559,0.727575064
3,1.325789213,-14.38915253,3.946841478,1.664607644,-0.681635559,0.727575064
3,1.325789213,-14.38915253,3.946841478,1.664607644,-0.681635559,0.727575064
3,1.325789213,-14.38915253,3.946841478,1.664607644,-0.681635559,0.727575064
3,1.325789213,-14.38915253,3.946841478,1.664607644,-0.681635559,0.727575064
3,0.770334423,-7.297526836,0.877474904,1.664607644,-0.681635559,0.727575064
3,-0.354940414,-8.288725853,2.103306293,-1.995904565,-0.449274927,-0.550874472
3,-0.354940414,-8.288725853,2.103306293,-1.995904565,-0.449274927,-0.550874472
3,-0.354940414,-8.288725853,2.103306293,-1.995904565,-0.449274927,-0.550874472
3,-0.354940414,-8.288725853,2.103306293,-1.995904565,-0.449274927,-0.550874472
3,-0.354940414,-8.288725853,2.103306293,-1.995904565,-0.449274927,-0.550874472
3,-1.398812294,-13.30697346,-1.315613866,-1.995904565,-0.449274927,-0.550874472
3,0.530914247,-12.20085144,-4.437653065,-1.995904565,-0.449274927,-0.550874472
3,5.391143799,-12.67011547,-2.541445017,-1.995904565,-0.449274927,-0.550874472
3,5.391143799,-12.67011547,-2.541445017,-1.995904565,-0.449274927,-0.550874472
3,5.391143799,-12.67011547,-2.541445017,-1.995904565,-0.449274927,-0.550874472
3,5.391143799,-12.67011547,-2.541445017,-1.995904565,-0.449274927,-0.550874472
3,5.391143799,-12.67011547,-2.541445017,-1.995904565,-0.449274927,-0.550874472
